EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,StandardHours,EmployeeCount,Over18,Attrition
1,38,Male,Married,1,Medical,Research & Development,Manager,1,Travel_Rarely,No,11611,14,1,3,2,19,1,1,0,0,0,3,4,3,4,2,3,80,1,Y,No
2,36,Female,Divorced,3,Medical,Human Resources,Human Resources,5,Travel_Rarely,Yes,2068,11,1,12,2,3,3,3,1,2,3,3,2,3,3,3,3,80,1,Y,No
3,24,Male,Single,3,Life Sciences,Research & Development,Research Scientist,2,Travel_Frequently,No,2935,25,2,4,3,7,3,3,0,1,2,4,2,3,1,3,3,80,1,Y,Yes
4,45,Male,Single,3,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Rarely,Yes,8007,22,2,16,3,3,3,3,1,3,6,1,3,4,4,1,3,80,1,Y,No
5,29,Male,Divorced,3,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,Yes,1809,24,2,18,3,14,7,0,0,2,2,1,3,3,3,2,3,80,1,Y,No
6,27,Female,Divorced,3,Technical Degree,Sales,Sales Executive,1,Travel_Rarely,No,11523,13,0,3,2,12,1,1,0,1,0,1,3,3,2,3,3,80,1,Y,No
7,44,Male,Divorced,4,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,No,3998,20,1,15,3,11,1,1,0,1,6,1,1,2,1,2,4,80,1,Y,No
8,44,Male,Single,1,Marketing,Human Resources,Manager,3,Travel_Rarely,Yes,6939,15,1,1,1,9,9,9,0,0,6,1,3,4,4,4,3,80,1,Y,No
9,37,Female,Single,3,Human Resources,Research & Development,Healthcare Representative,1,Travel_Rarely,No,4583,25,2,3,2,9,4,3,0,4,2,3,4,3,3,1,3,80,1,Y,No
10,46,Male,Single,1,Medical,Research & Development,Manufacturing Director,5,Travel_Frequently,Yes,2131,23,1,6,3,5,3,2,0,3,4,3,2,3,4,4,3,80,1,Y,No
