EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,Attrition,AttritionBinary,AgeBand,SalaryBand,TenureBand,JobSatisfactionLabel,WLBLabel,RiskScore,RiskCategory
1,38,Male,Married,1,Medical,Research & Development,Manager,1,Travel_Rarely,No,11611,14,1,3,2,19,1,1,0,0,0,3,4,3,4,2,3,No,0,36-45,Very High (>10K),0-2 yrs,3-High,3-Better,1,Low Risk
2,36,Female,Divorced,3,Medical,Human Resources,Human Resources,5,Travel_Rarely,Yes,2068,11,1,12,2,3,3,3,1,2,3,3,2,3,3,3,3,No,0,36-45,Low (<3K),3-5 yrs,3-High,3-Better,1,Low Risk
3,24,Male,Single,3,Life Sciences,Research & Development,Research Scientist,2,Travel_Frequently,No,2935,25,2,4,3,7,3,3,0,1,2,4,2,3,1,3,3,Yes,1,18-25,Low (<3K),3-5 yrs,4-Very High,3-Better,0,Low Risk
4,45,Male,Single,3,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Rarely,Yes,8007,22,2,16,3,3,3,3,1,3,6,1,3,4,4,1,3,No,0,36-45,High (6-10K),3-5 yrs,1-Low,4-Best,3,Medium Risk
5,29,Male,Divorced,3,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,Yes,1809,24,2,18,3,14,7,0,0,2,2,1,3,3,3,2,3,No,0,26-35,Low (<3K),6-10 yrs,1-Low,3-Better,3,Medium Risk
6,27,Female,Divorced,3,Technical Degree,Sales,Sales Executive,1,Travel_Rarely,No,11523,13,0,3,2,12,1,1,0,1,0,1,3,3,2,3,3,No,0,26-35,Very High (>10K),0-2 yrs,1-Low,3-Better,3,Medium Risk
7,44,Male,Divorced,4,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,No,3998,20,1,15,3,11,1,1,0,1,6,1,1,2,1,2,4,No,0,36-45,Mid (3-6K),0-2 yrs,1-Low,2-Good,3,Medium Risk
8,44,Male,Single,1,Marketing,Human Resources,Manager,3,Travel_Rarely,Yes,6939,15,1,1,1,9,9,9,0,0,6,1,3,4,4,4,3,No,0,36-45,High (6-10K),6-10 yrs,1-Low,4-Best,2,Medium Risk
9,37,Female,Single,3,Human Resources,Research & Development,Healthcare Representative,1,Travel_Rarely,No,4583,25,2,3,2,9,4,3,0,4,2,3,4,3,3,1,3,No,0,36-45,Mid (3-6K),3-5 yrs,3-High,3-Better,0,Low Risk
10,46,Male,Single,1,Medical,Research & Development,Manufacturing Director,5,Travel_Frequently,Yes,2131,23,1,6,3,5,3,2,0,3,4,3,2,3,4,4,3,No,0,46-60,Low (<3K),3-5 yrs,3-High,3-Better,1,Low Risk
11,49,Male,Married,2,Medical,Sales,Sales Representative,2,Travel_Frequently,Yes,9258,18,0,2,4,14,1,1,1,1,0,4,4,2,1,3,3,No,0,46-60,High (6-10K),0-2 yrs,4-Very High,2-Good,4,High Risk
12,48,Male,Married,3,Technical Degree,Human Resources,Manager,1,Travel_Rarely,No,20000,24,3,7,3,2,1,1,0,1,4,2,2,3,3,3,4,No,0,46-60,Very High (>10K),0-2 yrs,2-Medium,3-Better,2,Medium Risk
13,32,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,3608,11,1,7,0,4,0,0,0,0,0,2,1,2,1,3,3,No,0,26-35,Mid (3-6K),0-2 yrs,2-Medium,2-Good,4,High Risk
